id,provider,date,title,duration_minutes,services_affected,impact_symptoms,root_cause_l1,root_cause_l2,human_error,mitigation_actions,url,summary
gcs-16027,Google,2015-08-08,Google Cloud Storage Incident #16027,139,Google Cloud Storage,availability,external causes,excessive flow,False,increase capacity; reduce unexpected traffic,https://status.cloud.google.com/incident/storage/16027,"On Saturday 8 August 2015, Google Cloud Storage served an elevated error rate for a duration of 139 minutes. If your service or application was affected, we apologize. We have taken an initial set of actions to prevent recurrence of the problem, and have a larger set of changes which will provide defense in depth currently under review by the engineering teams."
google-GAE-#15020,Google,2015-08-12,Google App Engine Incident #15020,40,Google App Engine Search API,availability; performance,unknown,,False,isolate problematic workload,https://status.cloud.google.com/incident/appengine/15020,"On Wednesday, 12 August 2015, the Search API for Google App Engine experienced increased latency and errors for 40 minutes."
google-GCE-#15056,Google,2015-08-13,Google Compute Engine Incident #15056,4321,Google Compute Engine; Standard Persistent Disks; I/O,availability; durability,external causes; external causes,hardware failures; hardware failures,False,automatic auxiliary systems restored power; battery backup; manual intervention,https://status.cloud.google.com/incident/compute/15056.pdf,"From Thursday 13 August 2015 to Monday 17 August 2015, errors occurred on a small proportion of Google Compute Engine persistent disks in the europe-west1-b zone."
google-CSQL-#17009,Google,2015-08-14,google-CSQL-#17009,307,Google Cloud SQL,availability,internal causes,software bugs,False,allocate resources; restart service,https://status.cloud.google.com/incident/cloud-sql/17009,"On Friday, 14 August 2015, Google Cloud SQL instances in the US Central region experienced intermittent connectivity issues over an interval of 6 hours 50 minutes. If your service or application was a!ected, we apologize — this is not the level of quality and reliability we strive to o!er you, and we are taking immediate steps to improve the platform’s performance and availability."
gcs-16029,Google,2015-08-26,Google Cloud Storage Incident #16029,238,Google Cloud Storage,security; availability,internal causes,software bugs,False,rollback change; remove the expired keys,https://status.cloud.google.com/incident/storage/16029,"On Wednesday 26 August 2015, requests to Signed URLs [1] on Google Cloud Storage (GCS) returned errors for an extended period of time, affecting approximately 18% of projects using the Signed URLs feature. We apologize to our customers who were affected by this issue. We have identified and fixed the root causes of the incident, and we are putting measures in place to keep similar issues from occurring in future."
google-GAE-#15021,Google,2015-09-19,Google App Engine Incident #15021,88,Google Cloud App Engine memcache API,availability,internal causes,software bugs,False,roll out a fix,https://status.cloud.google.com/incident/appengine/15020,"On Thursday 17 September 2015, Google App Engine experienced increased latency and HTTP errors for 1 hour 28 minutes."
aws-5,AWS,2015-09-20,Summary of the Amazon DynamoDB Service Disruption and Related Impacts in the US-East Region,513,DynamoDB; SQS; EC2 Auto Scaling Service; CloudWatch,availability; performance,external causes; external causes,hardware failures; insufficient resource,False,pause request; add capacity,https://aws.amazon.com/cn/message/5467D2/,"Early Sunday morning, September 20, we had a DynamoDB service event in the US-East Region that impacted DynamoDB customers in US-East, as well as some other services in the region. On Sunday, at 2:19am PDT, there was a brief network disruption that impacted a portion of DynamoDB’s storage servers. Normally, this type of networking disruption is handled seamlessly and without change to the performance of DynamoDB, as affected storage servers query the metadata service for their membership, proces"
google-GCE-#15057,Google,2015-10-27,Google Compute Engine Incident #15057,70,Google Compute Engine; Google Compute Engine instances,performance,external causes; internal causes,network; software bugs,False,automatically process; decouple,https://status.cloud.google.com/incident/compute/15057.pdf,"On Tuesday 27 October 2015, Google Compute Engine instances created within a 90 minute period in us-central1 and asia-east1 regions took longer than usual to obtain external network connectivity."
google-GCE-#15058,Google,2015-10-31,Google Compute Engine Incident #15058,250,Google Compute Engine networking,availability; performance,internal causes,software bugs,False,roll out a change,https://status.cloud.google.com/incident/compute/15058.pdf,"Between Saturday 31 October 2015 and Sunday 1 November 2015, Google Compute Engine networking in the us-central1-b zone was impaired on 3 occasions for an aggregate total of 4 hours 10 minutes."
google-GCE-#15062,Google,2015-11-10,Google Compute Engine Incident #15062,403,Google Compute Engine; Google App Engine,performance,external causes,hardware failures,False,diverted traffic; made a change in traffic priority; replacement of the faulty hardware,https://status.cloud.google.com/incident/compute/15062.pdf,"On Tuesday, 10 November 2015, outbound traffic going through one of our European routers from both Google Compute Engine and Google App Engine experienced high latency for a duration of 6h43m minutes"
google-GAE-#15023,Google,2015-11-13,Google App Engine Incident #15023,403,Google Compute Engine VMs; Google Cloud App Engine,performance,external causes,hardware failures,False,divert traffic; change traffic priority; replace faulty hardware,https://status.cloud.google.com/incident/appengine/15023,"On Tuesday, 10 November 2015, outbound traffic going through one of our European routers from both Google Compute Engine and Google App Engine experienced high latency for a duration of 6h43m minutes."
google-GCE-#15064,Google,2015-11-23,Google Compute Engine Incident #15064,70,Google Compute Engine; network link,availability; performance,external causes,insufficient resource,True,direct traffic,https://status.cloud.google.com/incident/compute/15064.pdf,"On Monday 23 November 2015, for a duration of 70 minutes, a subset of Internet destinations was unreachable from the Google Compute Engine europe-west1 region."
google-BQ-1,Google,2015-11-29,Google BigQuery Incident #18012,33,Google BigQuery,availability; performance,external causes,excessive flow,False,allow the additional queries; change traffic threshold policy,https://status.cloud.google.com/incident/bigquery/18012,"for an aggregate of 33 minutes occurring between 7:31am and 8:24am PST, 11% of allrequests to the BigQuery API experienced errors."
google-GAE-#15025,Google,2015-12-07,Google App Engine Incident #15025,1023,Google App Engine applications authentication; Google Cloud APIs,availability,internal causes,software bugs,False,block failing authentication credentials; stop buggy migration; roll out a fix,https://status.cloud.google.com/incident/appengine/15025,"On Monday 7 December 2015, 1.29% of Google App Engine applications received errors when issuing authenticated calls to Google APIs over a period of 17 hours and 3 minutes. During a 45-minute period, authenticated calls to Google APIs from outside of App Engine also received errors, with the error rate peaking at 12%. We apologise for the impact of this issue on you and your"
google-GCE-#15065,Google,2015-12-08,Google Compute Engine Incident #15065,542,Google Compute Engine; Google Container Engine; Kubernetes,performance; availability,internal causes,software bugs,False,roll back; commit a fix,https://status.cloud.google.com/incident/compute/15065.pdf,"On Monday 7 December 2015, Google Container Engine customers could not create external load balancers for their services for a duration of 21 hours and 38 minutes."
google-GAE-#16002,Google,2016-02-03,Google App Engine Incident #16002,18,Google App Engine applications,performance; availability,internal causes; internal causes,software bugs; software bugs,True,roll back config,https://status.cloud.google.com/incident/appengine/16002,"On Wednesday 3 February 2016, some App Engine applications running on Java7, Go and Python runtimes served errors with HTTP response 500 for a duration of 18 minutes."
google-GCE-#16002,Google,2016-02-03,Google Compute Engine Incident #16002,89,Google Compute Engine; network load balancers,performance,internal causes,software bugs,False,change configuration; divert traffic,https://status.cloud.google.com/incident/compute/16002.pdf,"On Wednesday 3 February 2016, one third of network connections from external sources to Google Compute Engine instances and network load balancers in the asia-east1 region experienced high rates of network packet loss for 89 minutes."
google-GCE-#16003,Google,2016-02-23,Google Compute Engine Incident #16003,606,Google Compute Engine,performance,internal causes,software bugs,False,roll back change; fix bug,https://status.cloud.google.com/incident/compute/16003.pdf,"On Tuesday 23 February 2016, for a duration of 10 hours and 6 minutes, 7.8% of Google Compute Engine projects had reduced quotas."
google-GCE-#16004,Google,2016-02-23,Google Compute Engine Incident #16004,46,Google Compute Engine,performance,internal causes,software bugs,True,stop misconfiguration; isolating the misconfigured switches,https://status.cloud.google.com/incident/compute/16004.pdf,"On Tuesday 23 February 2015, Google Compute Engine instances in the us-central1-f zone experienced intermittent packet loss for 46 minutes."
google-GCE-#16005,Google,2016-02-24,Google Compute Engine Incident #16005,62,Google Compute Engine; network,availability,internal causes; internal causes,software bugs; software bugs,False,restore configuration,https://status.cloud.google.com/incident/compute/16005.pdf,"On Wednesday 24 February 2016, some Google Compute Engine instances in the europe-west1-c zone experienced network connectivity loss for a duration of 62 minutes."
google-GAE-#16003,Google,2016-04-25,Google App Engine Incident #16003,70,Google OAuth,performance; availability,internal causes; internal causes,software bugs; software bugs,False,isolate overload service; add capacity,http://gitlab.dds-sysu.tech/wallemit/AnomalyStudy/blob/master/raw-public/google/meta_pdf/GAE/Google%20App%20Engine%20Incident%2316003,"On Tuesday 19th April 2016, 1.1% of all requests to obtain new Google OAuth 2.0 tokens failed for a period of 70 minutes. Users of affected applications experienced authentication errors. This incident affected all Google services that use OAuth."
google-CSQL-#17010,Google,2016-05-17,google-CSQL-#17010,262,Google Cloud SQL,availability,internal causes,software bugs,False,redirecting new connections; block connections; restart service; shutdown the instance,https://status.cloud.google.com/incident/cloud-sql/17010,"On Tuesday 17 May 2016, connections to Cloud SQL instances in the Central United States region experienced an elevated error rate for 130 minutes."
google-BQ-2,Google,2016-05-18,Google BigQuery Incident #18015,31,Google BigQuery,availability; performance,internal causes,software bugs,False,rollback; change configuration,https://status.cloud.google.com/incident/bigquery/18015,On Wednesday 18 May 2016 the BigQuery API was unavailable for two periods totaling 31 minutes.
gcdc-16005,Google,2016-06-09,Google Cloud Console Incident #16005,91,Google Cloud Console,availability; performance,internal causes,software bugs,False,running the previous version; fix low-level bugs,https://status.cloud.google.com/incident/developers-console/16005,"On Thursday 9 June 2016, the Google Cloud Console was unavailable for a duration of 91 minutes, with significant performance degradation in the preceding half hour. Although this did not affect user resources running on the Google Cloud Platform, we appreciate that many of our customers rely on the Cloud Console to manage those resources, and we apologize to everyone who was affected by the incident. This report is to explain to our customers what went wrong, and what we are doing to make sure t"
google-GCE-#16011,Google,2016-06-28,Google Compute Engine Incident #16011,211,Google Compute Engine; SSD Persistent Disks,performance,internal causes; internal causes,software bugs; software bugs,False,revert events; fix issue,https://status.cloud.google.com/incident/compute/16011.pdf,"On Tuesday, 28 June 2016 Google Compute Engine SSD Persistent Disks experienced elevated write latency and errors in one zone for a duration of 211 minutes."
google-GCE-#16012,Google,2016-06-29,Google Compute Engine Incident #16012,106,Google Compute Engine instances; network load balancers,availability,internal causes,software bugs,False,modify access control,https://status.cloud.google.com/incident/compute/16012.pdf,"On Wednesday 29 June 2016, newly created Google Compute Engine instances and newly created network load balancers in all zones were partially unreachable for a duration of 106 minutes."
google-BQ-3,Google,2016-07-25,Google BigQuery Incident #18018,71,Google BigQuery; load balancer,performance; availability,internal causes,software bugs,False,block traffic; set the correct capacity limits,https://status.cloud.google.com/incident/bigquery/18018,"On Monday 25 July 2016, the Google BigQuery Streaming API experienced elevated error rates for a duration of 71 minutes."
google-GCE-#16015,Google,2016-08-05,Google Compute Engine Incident #16015,99,Google Compute Engine; Cloud VPN; Cloud Router; Cloud SQL,performance,internal causes,software bugs,False,revert change; fix the erroneous configuration,https://status.cloud.google.com/incident/compute/16015.pdf,"On Friday 5 August 2016, some Google Cloud Platform customers experienced increased network latency and packet loss to Google Compute Engine (GCE), Cloud VPN, Cloud Router and Cloud SQL, for a duration of 99 minutes."
google-gcdf-16001,Google,2016-08-12,Google Cloud Dataflow Incident #16001,99,Google Cloud Dataflow,availability; performance,internal causes,software bugs,True,roll back configuration,https://status.cloud.google.com/incident/cloud-dataflow/16001,"On Friday 12 August 2016, Cloud Dataflow experienced pipeline delays for 99 minutes. Although all pipelines did eventually successfully complete, we know that you rely on the timely execution of these !ows and apologise for the long duration and impact of this incident. We are taking steps to improve reliability and time to resolution so that we meet the level of service that you rightly expect."
google-GAE-#16009,Google,2016-08-22,Google App Engine Incident #16009,25,Google Cloud App Engine; Google Cloud Console; Google Dataflow; Google Cloud SQL; Google Compute Engine; Google Container Engine; Google Stackdriver Logging; Google Stackdriver Monitoring,availability; performance,external causes,hardware failures,False,restore power,https://status.cloud.google.com/incident/appengine/16009,"On Monday 22 August 2016, the Google Cloud US-CENTRAL1-F zone lost network connectivity to services outside that zone for a duration of 25 minutes."
google-GCE-#16017,Google,2016-08-22,Google Compute Engine Incident #16017,25,Google Cloud App Engine; Google Cloud Console; Google Dataflow; Google Cloud SQL; Google Compute Engine; Google Container Engine; Google Stackdriver Logging; Google Stackdriver Monitoring,availability; performance,external causes,hardware failures,False,restore power,https://status.cloud.google.com/incident/compute/16017.pdf,"On Monday 22 August 2016, the Google Cloud US-CENTRAL1-F zone lost network connectivity to services outside that zone for a duration of 25 minutes."
google-GAE-#16008,Google,2016-08-23,Google App Engine Incident #16008,107,Google App Engine applications,availability; performance,internal causes,software bugs,False,roll back change; redirect traffic; fix miscongifigutation,https://status.cloud.google.com/incident/appengine/16008,"On Thursday 11 August 2016, 21% of Google App Engine applications hosted in the US-CENTRAL region experienced error rates in excess of 10% and elevated latency between 13:13 and 15:00 PDT. An additional 16% of applications hosted on the same GAE instance observed lower rates of errors and latency during the same period."
google-GCE-#16020,Google,2016-10-13,Google Compute Engine Incident #16020,138,Google Compute Engine HTTP(S) Load Balancers,performance,internal causes; internal causes,software bugs; software bugs,False,revert rollout; restore configuration; restart instances,https://status.cloud.google.com/incident/compute/16020.pdf,"On Thursday 13 October 2016, approximately one-third of requests sent to the Google Compute Engine HTTP(S) Load Balancers between 15:07 and 17:25 PDT received an HTTP 502 error rather than the expected response."
google-CSQL-#17012,Google,2016-10-31,google-CSQL-#17012,124,Google Cloud Pub/Sub,performance; availability,unknown,,False,acquire storage capacity,https://status.cloud.google.com/incident/cloud-sql/17012,"On Monday, 31 October 2016, 73% of requests to create new subscriptions for Google Cloud Pub/Sub failed for a duration of 124 minutes. Creation of new Cloud SQL Second Generation instances also failed during this incident."
google-gcps-16003,Google,2016-10-31,Google Cloud Pub/Sub Incident #16003,124,Google Cloud Pub/Sub,performance; availability,unknown,,False,acquire storage capacity,https://status.cloud.google.com/incident/cloud-pubsub/16003,"On Monday, 31 October 2016, 73% of requests to create new subscriptions for Google Cloud Pub/Sub failed for a duration of 124 minutes. Creation of new Cloud SQL Second Generation instances also failed during this incident."
google-BQ-4,Google,2016-11-08,Google BigQuery Incident #18022,240,Google BigQuery streaming service,availability; performance,internal causes; external causes,software bugs; excessive flow,False,reduce load; increase the cache TTL; allow streaming authorization requests; populate the cache,https://status.cloud.google.com/incident/bigquery/18022,"On Tuesday 8 November 2016, Google BigQuery’s streaming service, which includes streaming inserts and queries against recently committed streaming buffers, was largely unavailable for a period of 4 hours."
azure-20161121-1,Azure,2016-11-21,Microsoft Azure Portal – Errors using Azure Resource Manager to create Virtual Machines,365,Azure Resource Manager; Virtual Machines,availability,internal causes,software bugs,False,deploy a hotfix,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 16:15 UTC and 22:20 UTC on 21 Nov 2016, customers attempting to use Azure Resource Manager (ARM) to create Virtual Machines (VMs) from the Microsoft Azure portal may have been unable to create ARM VMs with errors."
azure-20161126-1,Azure,2016-11-26,Virtual Machines - Central US,37,Virtual Machines,availability,external causes,hardware failures,False,self-heal,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 05:15 and 05:53 on 26 Nov 2016, a subset of customers using Virtual Machines in Central US may have experienced connection failures when trying to access Virtual Machines as well as Storage availability hosted in this region. Queues, Tables, Blobs, Files, and Virtual Machines with VHDs backed by the impacted storage scale unit were unavailable for the duration of impact."
azure-20161130-1,Azure,2016-11-30,Traffic Manager impacting Multiple Services,20,Azure customer resources and platform services,availability,internal causes,software bugs,False,withdrew the devices; fix bug,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 19:45 and 20:05 UTC on 30 Nov 2016, customers located primarily in the Asia-Pacific geographic region may have experienced failures attempting to connect to a subset of Azure customer resources and platform services."
azure-20161207-1,Azure,2016-12-07,RCA for Storage in North Europe affecting Multiple Services,168,Storage services; Virtual Machines; App Service Web App; Azure Search,availability; durability,internal causes; external causes; internal causes,software bugs; insufficient resource; software bugs,False,fail over the affected processes; manual recovery of the system; suppresse the false positive monitoring; roll out a software fix,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 13:22 and 16:10 UTC on 07 December 2016, a subset of customers using Storage services in North Europe may have experienced difficulties whilst attempting to connect to their resources. In addition, customers using Virtual Machines (VMs) hosted in the affected region may have experienced VM restarts. App Service \ Web App and Azure Search customers that have a dependency on Storage services may also have experienced availability issues in this region."
azure-20161209-1,Azure,2016-12-09,SQL Database - North Central US,540,SQL Database,availability,unknown,,False,manually recover backend system,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between approximately 10:00 and 19:00 UTC on 09 Dec 2016, customers using SQL Database in North Central US may have experienced issues performing service management operations."
azure-20161209-2,Azure,2016-12-09,Virtual Machines (v2) - South Central US,287,Virtual Machines,availability,internal causes,software bugs,False,deploy new update,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between approximately 20:00 UTC on 08 Dec 2016 and 00:47 UTC on 09 Dec 2016, customers using Virtual Machines (v2) in South Central US may have experienced failure notifications when attempting to perform networking-related update operations (such as network interfaces, NAT rules, or load balancing) to existing Virtual Machine (v2) configurations."
azure-20161210-1,Azure,2016-12-10,HDInsight - North Central US,400,HDInsight,availability,internal causes,software bugs,False,roll back the change,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 22:30 UTC on 09 Dec 2016 and 05:10 UTC on 10 Dec 2016, customers using HDInsight in North Central US may have received failure notifications when performing service management operations - such as create, update, delete - for resources hosted in this region. Existing clusters were not affected."
azure-20161211-1,Azure,2016-12-11,RCA for Network Infrastructure in West Europe,76,network,availability,external causes; internal causes,hardware failures; software bugs,False,shift traffic; add monitoring,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 22:29 and 23:45 UTC on the 10 Dec 2016, customers in the West Europe region may have experienced intermittent periods of connectivity issues."
azure-20161222-1,Azure,2016-12-22,Visual Studio Team Services,80,Visual Studio Team Services; Visual Studio Team Services Build & Deployment; Visual Studio Team Services Load Testing,performance,internal causes,software bugs,False,revert the configuration change,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 23:55 UTC on 21 Dec 2016 to 01:15 UTC on 22 Dec 2016, you were identified as a customer using Visual Studio Team Services, Visual Studio Team Services \ Build & Deployment, and Visual Studio Team Services \ Load Testing who may have intermittently experienced degraded performance and slowness while accessing accounts or navigating through Visual Studio Online workspaces."
azure-20161223-1,Azure,2016-12-23,Azure Functions - Region Selection Issues in Portal | Recovered,115,Azure Functions,availability,internal causes,software bugs,False,perform manual patches; roll out a deployment,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2016.11.21-2016.12.23.pdf,"Between 00:35 UTC on 22 Dec 2016 to 02:30 UTC on 23 Dec 2016, customers using Azure Functions may not have been able to select regions in the Management Portal and the Functions dashboard when creating applications. Customers provisioning new App Service \ Web Apps in Visual Studio may also have experienced the inability to select regions"
google-GCE-#17003,Google,2017-01-30,Google Compute Engine Incident #17003,128,Google Compute Engine instances; Cloud VPN; network load balancers,availability,internal causes,software bugs,False,restart job,https://status.cloud.google.com/incident/compute/17003.pdf,"On Monday 30 January 2017, newly created Google Compute Engine instances, Cloud VPNs and network load balancers were unavailable for a duration of 2 hours 8 minutes."
gcd-17002,Google,2017-02-14,Google Cloud Datastore Incident #17002,865,Google Cloud Datastore,availability,external causes; internal causes,excessive flow; software bugs,False,increase capacity; redirect traffic; fix bugs,https://status.cloud.google.com/incident/cloud-datastore/17002,"On Tuesday 14 February 2017, some applications using Google Cloud Datastore in Western Europe or the App Engine Search API in Western Europe experienced 2%-4% error rates and elevated latency for three periods with an aggregate duration of three hours and 36 minutes. We apologize for the disruption this caused to your service. We have already taken several measures to prevent incidents of this type from recurring and to improve the reliability of these services."
aws-6,AWS,2017-02-28,Summary of the Amazon S3 Service Disruption in the Northern Virginia (US-EAST-1) Region,257,S3 service; EBS volumes; EC2 instances; AWS Lambda,availability,external causes,component removal,True,restart service,https://aws.amazon.com/cn/message/41926/,"On February 28th 2017 9:37AM PST, the Amazon S3 team was debugging a minor issue. Despite using an established playbook, one of the commands intending to remove a small number of servers was issued with a typo, inadvertently causing a larger set of servers to be removed. These servers supported critical S3 systems. As a result, dependent systems required a full restart to correctly operate, and the system underwent widespread outages for US-EAST-1 (Northern Virginia) until final resolution at 1:"
google-BQ-5,Google,2017-03-13,Google BigQuery Incident #18026,30,Google BigQuery streaming service,availability,internal causes; internal causes,software bugs; software bugs,False,block load; revert change; clear backlog,https://status.cloud.google.com/incident/bigquery/18026,"On Monday 13 March 2017, the BigQuery streaming API experienced 91% error rate in the US and 63% error rate in the EU for a duration of 30 minutes."
azure-20170318-1,Azure,2017-03-18,Log Analytics - East US,628,Log analytics,availability,external causes,insufficient resource,False,clear out the request queue; restart service,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2017.03.13-03.30.pdf,"Between 02:47 and 13:15 UTC on 18 Mar 2017, a subset of customers using Log Analytics in East US may have received intermittent failure notifications - such as internal server errors, or tile or blade not loading - when performing log search operations."
azure-20170321-1,Azure,2017-03-21,RCA - Storage and Virtual Machines - West Europe,,Storage and Virtual Machines,performance,external causes,hardware failures,False,reroute traffic; replace the faulty component,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2017.03.13-03.30.pdf,"A line card failure on an Azure Networking optical system caused a loss of network capacity to the West Europe Region. During this event, customers experienced increased latency accessing their services and also sporadic packet loss. Azure Networking Engineers replaced the failed optical card to restore service."
azure-20170321-2,Azure,2017-03-21,Microsoft Accounts Experiencing Login Failures,85,Microsoft Account authentication service,availability,unknown,,False,deploy a fix,https://github.com/IntelligentDDS/Post-mortems-Analysis/blob/master/raw-public/azure/meta_pdf/2017.03.13-03.30.pdf,"Between 17:30 and 18:55 UTC on 21 Mar 2017, a subset of Azure customers may have experienced intermittent login failures while authenticating with their Microsoft Accounts. This would have impacted the ability for customers to authenticate to their Azure management portal (https://portal.azure.com), PowerShell, or other workflows requiring Microsoft Account authentication. Customers authenticating with Azure Active Directory or organizational accounts were unaffected. Customers who had an active"
